Document,Topic_group,Priority
Audio jack is static,Hardware,Low
We need to renew the domain hosting,Purchase,High
Cannot scan to usb,Access,Medium
Payslip amount is zero,HR Support,High
My USB port is tight,Hardware,Medium
I need a qi charger,Purchase,Low
App crashes on close,Access,Medium
Client requested a summary,Billing,Low
How do I add a beneficiary?,HR Support,Low
The paper cutter is broken,Hardware,Low
I need a license for DaVinci Resolve,Purchase,Low
Cannot connect to VPN from home wifi,Access,Medium
My desk is too low,Hardware,Low
Please consolidate billing,Billing,Low
I need access to the tax folder,Access,High
Laptop screen has spots,Hardware,Medium
Where can I find the referral bonus policy?,HR Support,Low
I forgot the admin user,Access,High
We need to buy 10 scissors,Purchase,Low
The smart TV is broken,Hardware,Low
Invoice #441 is lost,Billing,High
I cannot login to GitHub Actions,Access,High
My computer hums,Hardware,Medium
Requesting a wrist pad,Purchase,Low
What are the comp off limits?,HR Support,Low
VPN refuses handshake,Access,High
My laptop battery is draining 100 to 0,Hardware,Medium
Update the VAT details,Billing,Low
Please order a webcam shutter,Purchase,Low
I cannot access the learning site,Access,Low
System has a trojan,Access,High
My headset ear cup is loose,Hardware,Low
We need a license for Zoom Rooms,Purchase,Low
Salary deduction for leave,HR Support,High
I need to reset my key card,Access,Medium
Fan is grinding,Hardware,Low
Quote for office chairs,Purchase,High
Customer #332 wants to change plan,Billing,Low
How do I claim moving costs?,HR Support,Low
I need a new business card holder,HR Support,Low
The toaster is not popping,Hardware,Low
Internet is slow for video,Hardware,Medium
I need to install MySQL Client,Access,Low
Grant me access to Prod,Access,Medium
Screen burn,Hardware,Low
We need to buy a license for Figma,Purchase,Low
Where do I submit investment proofs?,HR Support,Low
Cannot access the backup server,Access,High
The proxy is blocking github,Access,High
Caps lock is broken,Hardware,Low
Requesting a quote for a NAS drive,Purchase,Low
Billing contact phone bounce,Billing,Medium
I did not receive my shift pay,HR Support,Medium
Email keeps asking for creds,Access,Medium
I need a replacement for my monitor,Hardware,Medium
We need to purchase a label tape,Purchase,Low
The server room AC is leaking,Hardware,Medium
Forgot password for the health portal,Access,Medium
How many leaves do I get per year?,HR Support,Low
My laptop shocks me on touch,Hardware,High
Please order 50 AAA batteries,Purchase,Low
401 Unauthorized api,Access,High
Tax calculation wrong,HR Support,Medium
Bluetooth is lagging,Hardware,Low
We need to renew the azure sub,Purchase,High
Cannot print b&w,Hardware,Low
Payslip is not available,HR Support,Medium
My external drive is dead,Hardware,High
I need a cooling fan,Purchase,Low
Program won't start,Access,Low
Client wants to pay by card,Billing,Low
How do I change my vpf?,HR Support,Low
The binding machine is jammed,Hardware,Low
I need a license for 3ds Max,Purchase,Low
Cannot connect to VPN from phone,Access,Medium
My chair lift is sinking,Hardware,Low
Please correct the name on invoice,Billing,Low
I need access to contract docs,Access,High
Laptop keyboard backlight is flickering,Hardware,Low
Where can I find the exit policy?,HR Support,Low
I forgot the server root pass,Access,High
We need to buy 5 tape dispensers,Purchase,Low
The projector remote is broken,Hardware,Low
Invoice #665 is duplicate,Billing,Medium
I cannot login to Bitbucket Cloud,Access,High
My computer stutters,Hardware,Medium
Requesting a foot switch,Purchase,Low
What is the notice period length?,HR Support,Low
VPN client update failed,Access,Medium
My laptop charger smokes,Hardware,High
Remove tax from bill,Billing,Low
Please order a cloth,Purchase,Low
I cannot access the onboarding app,Access,Medium
System update failed,Hardware,Medium
My headset is too small,Purchase,Low
We need a license for Grammarly Edu,Purchase,Low
Salary credited to wrong branch,HR Support,High
I need to reset my yubikey,Access,High
Fan is clicking,Hardware,Low
Quote for new carpet tile,Purchase,Low
Customer #774 wants to refund,Billing,High
How do I claim cert cost?,HR Support,Low
I need a new backpack,Purchase,Low
The dishwasher is broken,Hardware,Low
Internet is down in cafe,Hardware,Medium
I need to install Postman App,Access,Low
Grant me access to dev,Access,Medium
Screen retention,Hardware,Low
We need to buy a license for Miro Team,Purchase,Low
Where do I submit tax forms?,HR Support,Low
Cannot access archive drive,Access,Medium
The web server is 500,Access,High
Num lock is stuck,Hardware,Low
Requesting a quote for a copier,Purchase,Low
Billing cycle monthly,Billing,Low
I did not receive my bonus check,HR Support,High
Email font is too big,Access,Low
I need a replacement keycap,Hardware,Low
We need to purchase an eraser board,Purchase,Low
The server rack is locked,Hardware,Low
Forgot password for purchasing,Access,Medium
How many sick days are left?,HR Support,Low
My laptop screen flickers black,Hardware,Medium
Please order 10 patch cables,Purchase,Low
400 Bad Request api,Access,Medium
Income tax wrong,HR Support,Medium
Headphone jack is dust,Hardware,Low
We need to renew amc,Purchase,High
Cannot print A4,Hardware,Low
Payslip leave balance error,HR Support,Low
My SSD is slow write,Hardware,Low
I need a copy holder,Purchase,Low
App freezes on save,Access,Medium
Client #99 asked for receipt,Billing,Low
How do I withdraw PF partial?,HR Support,Low
The hole punch is dull,Hardware,Low
I need a license for Logic Pro,Purchase,Low
Cannot connect to VPN from starbucks,Access,Medium
My chair is stained,Hardware,Low
Please refund invoice #88 partial,Billing,Medium
I need access to board docs,Access,High
Laptop has no wifi,Access,Medium
Where can I find the ethics policy?,HR Support,Low
I forgot the master key,Access,High
We need to buy 20 pads,Purchase,Low
The TV has no sound,Hardware,Low
Invoice #112 is scam,Billing,High
I cannot login to Slack web,Access,High
My computer is overheating,Hardware,High
Requesting a mouse pad,Purchase,Low
What is the dating rule?,HR Support,Low
VPN is disconnecting,Access,Medium
My laptop battery jumps,Hardware,Medium
Add note to invoice,Billing,Low
Please order a air duster,Purchase,Low
I cannot access polls,Access,Low
System hangs on boot,Hardware,Low
My headset is cracked,Hardware,Medium
We need a license for Notion Personal,Purchase,Low
Salary credited twice error,HR Support,High
I need to reset google auth,Access,High
Fan whines,Hardware,Low
Quote for curtains,Purchase,Low
Customer #442 extend terms,Billing,Medium
How do I claim magazines?,HR Support,Low
I need a new drawer key,HR Support,Low
The stove is gas leak,Hardware,Low
Internet restricted site,Access,Medium
I need to install gcc,Access,Low
Grant me access to ops,Access,High
Screen scratched deep,Hardware,Low
We need to buy a license for SurveyMonkey,Purchase,Low
Where do I submit lease?,HR Support,Low
Cannot access secret folder,Access,High
The DHCP server is down,Access,High
Home key broken,Hardware,Low
Requesting a quote for camera,Purchase,Low
Billing state code wrong,Billing,Low
I did not receive offer letter,HR Support,Medium
Email spam filter issue,Access,Medium
I need a replacement hub,Hardware,Medium
We need to purchase a coat hanger,Purchase,Low
The server room is dusty,Hardware,Low
Forgot password for hub,Access,High
How many marriage days?,HR Support,Low
My laptop touchpad lag,Hardware,Medium
Please order 3 hdmi cables,Purchase,Low
Connection reset,Access,High
Tax statement wrong,HR Support,Low
Speakers hiss,Hardware,Low
We need to renew pest control,Purchase,Low
Cannot print label maker,Hardware,Low
Payslip format error,HR Support,Low
My memory card write protect,Hardware,Medium
I need a phone charger,Purchase,Low
App responsive issue,Access,Medium
Client #33 query invoice,Billing,Low
How do I update email?,HR Support,Low
The glue gun hot,Hardware,Low
I need a license for Unreal,Purchase,Low
Cannot connect to VPN from train wifi,Access,Medium
My chair gas broken,Hardware,Low
Please cancel invoice 2,Billing,Medium
I need access to cfo folder,Access,High
Laptop camera black,Hardware,Low
Where can I find it policy?,HR Support,Low
I forgot secret key,Access,Medium
We need to buy 50 elastics,Purchase,Low
The projector lamp,Hardware,Medium
Invoice #221 typo,Billing,Medium
I cannot login to Trello board,Access,Medium
My computer blue screen,Hardware,High
Requesting monitor stand,Purchase,Low
What is moonlighting rule?,HR Support,Low
VPN token lost,Access,High
My laptop battery swell,Hardware,High
Remove discount bill,Billing,Low
Please order cleaner,Purchase,Low
I cannot access forms,Access,Low
System reboots random,Hardware,High
My headset mic broken,Hardware,Low
We need a license for Keep,Purchase,Low
Salary unauthorized cut,HR Support,High
I need to reset 2FA app,Access,High
Fan max noise,Hardware,Low
Quote for new desk,Purchase,Medium
Customer #552 chargeback,Billing,High
How do I claim meals?,HR Support,Low
I need a new rsa token,Access,High
The fridge hot,Hardware,Low
Internet intermittent wifi,Hardware,Medium
I need to install perl,Access,Low
Grant me access to staging,Access,Medium
Screen vertical band,Hardware,Medium
We need to buy a license for Smartsheet,Purchase,Low
Where do I submit bills?,HR Support,Low
Cannot access public drive,Access,Low
The FTP server down,Access,Medium
Delete key broken,Hardware,Low
Requesting a quote for shredder oil,Purchase,Low
Billing period error,Billing,Low
I did not receive car allowance,HR Support,Medium
Email attachment size,Access,Medium
I need a replacement mouse mat,Purchase,Low
We need to purchase tray,Purchase,Low
The server room light flickers,Hardware,Low
Forgot password for lms,Access,Medium
How many maternity days?,HR Support,Low
My laptop grinding fan,Hardware,High
Please order 5 power boards,Purchase,Low
408 Timeout api,Access,Medium
Tax code error,HR Support,Medium
Speakers buzz,Hardware,Low
We need to renew lease agreement,Purchase,High
Cannot print edge,Access,Low
Payslip zero pay,HR Support,High
My flash drive broken,Hardware,Low
I need privacy screen,Purchase,Low
Program crash,Access,Medium
Client #12 check bounce,Billing,Low
How do I update location?,HR Support,Low
The stapler broken,Hardware,Low
I need a license for Inkscape,Purchase,Low
Cannot connect to VPN tether,Access,Medium
My chair back loose,Hardware,Low
Please void bill,Billing,Medium
I need access to strategy doc,Access,High
Laptop feet missing,Hardware,Low
Where can I find safety rule?,HR Support,Low
I forgot wifi pass,Access,Low
We need to buy 100 pins,Purchase,Low
The HDMI port loose,Hardware,Medium
Invoice #332 overpaid,Billing,Medium
I cannot login to Azure portal,Access,High
My computer malware,Access,High
Requesting desk fan,Purchase,Low
What is sabbatical rule?,HR Support,Low
VPN outdated client,Access,Medium
My laptop shuts down 10%,Hardware,Medium
Change date bill,Billing,Low
Please order wipes,Purchase,Low
I cannot access survey link,Access,Low
System fan fail,Hardware,High
My headset static sound,Hardware,Low
We need a license for Box,Purchase,Low
Salary delayed 1 day,HR Support,Medium
I need to reset password safe,Access,High
Fan clicking noise,Hardware,Low
Quote for reception chair,Purchase,Medium
Customer #993 invoice,Billing,Low
How do I claim mobile?,HR Support,Low
I need a new gym pass,HR Support,Low
The kettle short,Hardware,Low
Internet slow office,Hardware,Medium
I need to install git,Access,Low
Grant me access to prod db,Access,High
Screen dead pixels,Hardware,Low
We need to buy a license for Visio,Purchase,Low
Where do I submit tax?,HR Support,Low
Cannot access team drive,Access,Medium
The mail server bounce,Access,High
Tab key stuck,Hardware,Low
Requesting a quote for plotter ink,Purchase,Low
Billing contact wrong,Billing,Low
I did not receive holiday,HR Support,High
Email images block,Access,Low
I need a replacement bat,Hardware,Medium
We need to purchase organizer tray,Purchase,Low
The server room flood,Hardware,High
Forgot password for benefits,Access,Medium
How many paternity days?,HR Support,Low
My laptop screen hinge,Hardware,Medium
Please order 2 lan cables,Purchase,Low
503 Service Unavailable site,Access,High
Tax deducted missing,HR Support,High
Microphone dead,Hardware,Low
We need to renew gym pass,Purchase,Low
Cannot print pdf file,Access,Low
Payslip font error,HR Support,Low
My external SSD slow,Hardware,Medium
I need a stand,Purchase,Low
App slow load,Access,Low
Client #55 not paying,Billing,High
How do I change bank account?,HR Support,Low
The scissors broken,Hardware,Low
I need a license for Maya 2024,Purchase,Low
Cannot connect to VPN hotel,Access,Medium
My chair squeaks,Hardware,Low
Please resend bill,Billing,Low
I need access to audit doc,Access,High
Laptop paint chip,Hardware,Low
Where can I find social rule?,HR Support,Low
